AIPGENE13666	len=225	ExpAA=0.04	First60=0.01	PredHel=0	Topology=o
AIPGENE8563	len=256	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE28336	len=971	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE28801	len=706	ExpAA=1.90	First60=0.53	PredHel=0	Topology=o
AIPGENE8434	len=331	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE5006	len=116	ExpAA=0.45	First60=0.04	PredHel=0	Topology=o
AIPGENE27850	len=266	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE10309	len=330	ExpAA=0.03	First60=0.02	PredHel=0	Topology=o
AIPGENE3509	len=158	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE27587	len=440	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE18581	len=401	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE10122	len=878	ExpAA=17.03	First60=0.00	PredHel=0	Topology=o
AIPGENE14308	len=398	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
AIPGENE7652	len=794	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE22537	len=281	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE1387	len=147	ExpAA=8.47	First60=0.00	PredHel=0	Topology=o
AIPGENE17773	len=467	ExpAA=226.84	First60=18.62	PredHel=10	Topology=i43-65o75-97i104-123o133-155i160-182o192-211i273-295o348-370i372-394o409-431i
AIPGENE12798	len=1549	ExpAA=44.80	First60=0.00	PredHel=2	Topology=o975-997i1034-1056o
AIPGENE2634	len=145	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
AIPGENE1785	len=2076	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
AIPGENE8419	len=105	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE24114	len=109	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE18471	len=671	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
AIPGENE9363	len=140	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
AIPGENE18324	len=238	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE17145	len=2144	ExpAA=216.12	First60=0.00	PredHel=10	Topology=o631-650i657-674o1295-1314i1326-1348o1363-1385i1398-1420o1645-1667i1926-1948o1952-1974i1981-2003o
AIPGENE26844	len=270	ExpAA=34.16	First60=19.66	PredHel=1	Topology=i7-29o
AIPGENE16590	len=307	ExpAA=5.38	First60=0.00	PredHel=0	Topology=o
AIPGENE29030	len=419	ExpAA=20.40	First60=20.33	PredHel=1	Topology=i7-29o
AIPGENE27480	len=250	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
AIPGENE19092	len=521	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
AIPGENE18860	len=435	ExpAA=0.03	First60=0.02	PredHel=0	Topology=o
AIPGENE4893	len=278	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
AIPGENE14392	len=187	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
AIPGENE16309	len=144	ExpAA=0.27	First60=0.27	PredHel=0	Topology=o
AIPGENE24783	len=160	ExpAA=21.67	First60=21.64	PredHel=1	Topology=i7-29o
AIPGENE19720	len=761	ExpAA=2.58	First60=2.57	PredHel=0	Topology=o
AIPGENE3497	len=283	ExpAA=0.06	First60=0.01	PredHel=0	Topology=o
AIPGENE6531	len=1028	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
